Side Hustle,Hourly Rate,Costs,Transport Required,Category
Lawn Mowing,18,2.5,TRUE,Outdoors
Babysitting,15,0,TRUE,Service
Math Tutoring,22,0,FALSE,Tutoring
Dog Walking,14,0,TRUE,Pets
Cat Sitting,13,0,TRUE,Pets
House Plant Care,12.5,0,TRUE,Service
Snack Stand Vendor,12,4,TRUE,Events
Custom Sticker Design,16,1,FALSE,Creative
Video Captioning,15.5,0,FALSE,Digital
Gaming Coach,18.5,0,FALSE,Digital
Kids Coding Helper,20,0,FALSE,Tutoring
Bike Repair Pop Up,18,2,TRUE,Service
Phone Setup Service,14.5,0,TRUE,Tech Support
PC Cleanup Service,17.5,0.5,TRUE,Tech Support
Senior Tech Helper,16,0,TRUE,Tech Support
Errand Runner,13.5,0,TRUE,Service
Garage Sale Organizer,14,0,TRUE,Service
Thrift Flip Reseller,16,3,TRUE,Resale
3D Printing Minis,15,2.5,FALSE,Creative
Candle Maker Micro Shop,14,3,FALSE,Crafts
Bracelet Maker Table,13,1.5,TRUE,Crafts
Social Media Clips Editor,18,0,FALSE,Media
Birthday Party Photographer,20,2,TRUE,Events
Event DJ Lite,22,2.5,TRUE,Events
Beginner Guitar Lessons,21,0,TRUE,Tutoring
Leaf Raking,15,0,TRUE,Outdoors
Snow Shoveling,18,0,TRUE,Outdoors
Pool Skimming,14,0,TRUE,Outdoors
Car Washing,14,1.5,TRUE,Cleaning
Window Washing,15,1,TRUE,Cleaning
Recycling Pickup,12,0,TRUE,Service
Homework Coach,16,0,FALSE,Tutoring
Language Tutoring,23,0,FALSE,Tutoring
Digital Art Commissions,17,0.5,FALSE,Creative
Resume Polisher,18,0,FALSE,Digital
Club Poster Designer,15,0.5,FALSE,Creative
Newsletter Layout Assistant,14.5,0,FALSE,Media
Podcast Editor,18,0,FALSE,Media
Merch Mockup Artist,16,0,FALSE,Creative
Landing Page Builder,22,0,FALSE,Digital
